Entity,Code,Year,solar,wind,hydro,nuclear,fossil
Algeria,DZA,2024,1.6728634,0.03913131,0.12482927,0.001,758.1834271
Argentina,ARG,2024,9.671616,39.432907,72.36291,25.485405,805.2101620000001
Australia,AUS,2024,122.469246,79.84904,31.340435,0.001,1413.39682
Austria,AUT,2024,22.98332,22.462114,109.25404,0.001,228.06030299999998
Azerbaijan,AZE,2024,1.3407317,0.12414634,7.106,0.001,198.68549000000002
Bangladesh,BGD,2024,3.0936098,0.23703243,2.4239051,0.001,522.928405
Belarus,BLR,2024,0.36434034,0.4200273,0.65615904,38.292683,271.509696
Belgium,BEL,2024,20.936623,32.11601,1.2901953,76.09576,489.870267
Brazil,BRA,2024,173.95181,264.61795,1007.83966,38.48196,1889.17843
Bulgaria,BGR,2024,13.222657,3.3587413,7.018133,38.436123,119.96507199999999
Canada,CAN,2024,22.967072,114.219124,837.0666,208.45772,2575.69548
Chile,CHL,2024,50.378777,25.633087,64.594696,0.001,345.39018999999996
China,CHN,2024,2046.439,2431.805,3303.0593,1099.6342,38907.274000000005
Colombia,COL,2024,8.057025,0.36292684,132.914,0.001,448.700745
Croatia,HRV,2024,1.9946601,6.535252,16.503899,0.001,73.336879
Cyprus,CYP,2024,2.6239595,0.49427068,0.001,0.001,29.5750904
Czechia,CZE,2024,8.757029,1.7193028,6.4787235,72.43024,279.641388
Denmark,DNK,2024,9.50212,50.13907,0.04759511,0.001,112.016936
Ecuador,ECU,2024,0.08807317,0.5452195,55.157146,0.001,169.64278658
Egypt,EGY,2024,14.798846,14.968955,35.055367,0.001,1057.07081
Estonia,EST,2024,2.746758,2.554692,0.07722961,0.001,45.41019
Finland,FIN,2024,3.1242476,50.378944,34.921597,79.57811,120.25961199999999
France,FRA,2024,56.54531,114.98836,172.9461,927.92944,1144.724153
Germany,DEU,2024,180.81464,338.68048,54.178047,0.001,2400.49226
Greece,GRC,2024,24.801226,29.141119,7.849602,0.001,250.537936
Hong Kong,HKG,2024,0.789837,0.002034828,0.001,0.001,270.01177
Hungary,HUN,2024,21.887712,1.6046146,0.56405365,39.065426,186.585424
Iceland,ISL,2024,0.001,0.030095123,33.122536,0.001,12.6021586
India,IND,2024,333.54605,198.88817,381.77603,133.42453,10111.3879
Indonesia,IDN,2024,2.255718,1.1763849,64.60172,0.001,2663.04678
Iran,IRN,2024,2.196103,3.0425727,46.03232,17.915636,3517.0245460000006
Iraq,IRQ,2024,0.9209186,0.001,3.3824098,0.001,732.21515
Ireland,IRL,2024,2.7375104,28.341486,1.8751464,0.001,139.858747
Israel,ISR,2024,24.740662,0.9678658,0.056818668,0.001,249.13778100000002
Italy,ITA,2024,88.29477,54.438072,134.67142,0.001,1329.927522
Japan,JPN,2024,235.86104,28.146042,193.77844,207.08684,3950.8809
Kazakhstan,KAZ,2024,4.5657377,11.981405,27.4486,0.001,815.41894
Kuwait,KWT,2024,0.31135854,0.08569756,0.001,0.001,524.6033821
Latvia,LVA,2024,0.98292685,0.6776963,7.8168273,0.001,26.84794754
Lithuania,LTU,2024,3.3766162,8.557904,1.0602785,0.001,55.540755000000004
Luxembourg,LUX,2024,1.1692935,1.1545231,0.2644398,0.001,33.90314205
Malaysia,MYS,2024,8.587924,0.001,83.871346,0.001,1262.24737
Mexico,MEX,2024,62.740494,48.182873,57.42173,30.016073,2081.6378
Morocco,MAR,2024,5.162086,18.335165,0.34530032,0.001,251.04787199999998
Netherlands,NLD,2024,52.792683,81.40791,0.20731708,8.726787,742.609698
New Zealand,NZL,2024,1.4808857,9.654212,58.04359,0.001,134.78738199999998
North Macedonia,MKD,2024,0.7609667,0.40467316,3.3325927,0.001,24.592336000000003
Norway,NOR,2024,1.3501714,35.424118,340.4292,0.001,150.11193
Oman,OMN,2024,4.68337,0.29670152,0.001,0.001,441.58985609999996
Pakistan,PAK,2024,4.0384693,8.47889,95.14219,55.596745,714.96668
Peru,PER,2024,3.4322963,9.54813,78.116295,0.001,270.4800844
Philippines,PHL,2024,9.244621,3.1658344,27.12342,0.001,572.5150980000001
Poland,POL,2024,36.19893,63.061127,5.313349,0.001,972.7052100000001
Portugal,PRT,2024,17.309757,35.25122,36.165855,0.001,159.505286
Qatar,QAT,2024,4.878049,0.001,0.001,0.001,648.343222
Romania,ROU,2024,11.20108,15.509757,33.654453,26.614634,257.51073799999995
Russia,RUS,2024,7.130983,11.139564,513.5055,526.13403,7940.7167
Saudi Arabia,SAU,2024,20.072718,3.8837824,0.001,0.001,3265.001397
Singapore,SGP,2024,3.1093295,0.001,0.001,0.001,1047.9287880000002
Slovakia,SVK,2024,1.6941277,0.009782827,12.028091,44.51197,114.55679500000001
Slovenia,SVN,2024,4.472411,0.01613273,12.977529,14.233466,44.328377
South Africa,ZAF,2024,16.09756,27.073172,2.682927,19.024391,1291.93536
South Korea,KOR,2024,79.8143,8.205379,10.486009,460.37585,2969.066
Spain,ESP,2024,137.7398,152.66441,83.98218,133.20428,1051.882548
Sri Lanka,LKA,2024,6.2988143,1.9136993,16.957071,0.001,84.267314
Sweden,SWE,2024,10.109756,98.80719,157.64343,123.41846,164.16522600000002
Switzerland,CHE,2024,14.397561,0.4170732,109.58874,56.0561,142.6935848
Taiwan,TWN,2024,36.347614,25.192863,10.258371,29.70799,1140.80465
Thailand,THA,2024,13.247618,8.253865,15.645839,0.001,1312.64048
Trinidad and Tobago,TTO,2024,0.017174378,0.001,0.001,0.001,159.78975
Turkey,TUR,2024,74.08476,89.33876,182.63802,0.001,1667.24327
Turkmenistan,TKM,2024,0.017022118,0.001,0.007703976,0.001,371.13917
Ukraine,UKR,2024,14.767902,0.6197561,31.127947,129.2683,417.07833
United Arab Emirates,ARE,2024,37.09568,0.48687446,0.001,99.085365,1380.581977
United Kingdom,GBR,2024,36.071953,205.01903,14.059025,98.99464,1409.69936
United States,USA,2024,746.9007,1117.1573,582.22577,2007.6494,21166.57
Uzbekistan,UZB,2024,10.515073,1.2652013,20.0,0.001,661.850949
Venezuela,VEN,2024,0.0041761748,0.04206225,177.6506,0.001,509.976279
Vietnam,VNM,2024,63.07805,31.090244,216.39757,0.001,1143.389674
